id,FirstName,LastName,Major,Season,Year,email
374,Ramsey,Inggall,IS,Summer,2024,Ramsey.Inggall@email.com
375,Ava,Trussman,MATH,Winter,2024,Ava.Trussman@email.com
376,Jerrylee,Pilsworth,ME,Fall,2025,Jerrylee.Pilsworth@email.com
377,Herschel,Adrain,MET,Spring,2024,Herschel.Adrain@email.com
378,Fredericka,Nund,PHYS,Summer,2022,Fredericka.Nund@email.com
379,Morey,Dumbellow,STS,Winter,2024,Morey.Dumbellow@email.com
380,Griffin,Gresser,MINE,Fall,2025,Griffin.Gresser@email.com
381,Fairfax,Yerson,ATMO,Spring,2022,Fairfax.Yerson@email.com
382,Fifi,Minet,BIO,Summer,2025,Fifi.Minet@email.com
383,Meredith,Hanbury-Brown,BME,Winter,2023,Meredith.Hanbury-Brown@email.com
384,Rabbi,Labeuil,BMT,Fall,2022,Rabbi.Labeuil@email.com
385,Minne,Field,CHEME,Spring,2022,Minne.Field@email.com
386,Gayelord,Ber,CHEM,Summer,2022,Gayelord.Ber@email.com
387,Leese,Pochon,CE,Winter,2024,Leese.Pochon@email.com
388,Kym,Orbine,CENG,Fall,2022,Kym.Orbine@email.com
389,Lindy,Semarke,CSC,Spring,2023,Lindy.Semarke@email.com
390,Stanton,Callan,EE,Summer,2023,Stanton.Callan@email.com
391,Adolpho,Bischop,GEOE,Winter,2025,Adolpho.Bischop@email.com
392,Cleavland,Ebbers,GEO,Fall,2025,Cleavland.Ebbers@email.com
393,Zedekiah,Brayshay,IS,Spring,2025,Zedekiah.Brayshay@email.com
394,Scarlett,Law,MATH,Summer,2023,Scarlett.Law@email.com
395,Percy,Lakey,ME,Winter,2023,Percy.Lakey@email.com
396,Timmi,Torns,MET,Fall,2025,Timmi.Torns@email.com
397,Bard,Lapham,PHYS,Spring,2024,Bard.Lapham@email.com
398,Lyon,Armor,STS,Summer,2025,Lyon.Armor@email.com
399,Francesco,Shelford,MINE,Winter,2023,Francesco.Shelford@email.com
400,Gwen,Ganford,ATMO,Fall,2025,Gwen.Ganford@email.com
401,Teressa,Pauel,BIO,Spring,2022,Teressa.Pauel@email.com
402,Taber,McEvilly,BME,Summer,2025,Taber.McEvilly@email.com
403,Humberto,Handforth,BMT,Winter,2023,Humberto.Handforth@email.com
404,Jami,Dominichelli,CHEME,Fall,2023,Jami.Dominichelli@email.com
405,Mellie,Searby,CHEM,Spring,2022,Mellie.Searby@email.com
406,Felecia,Miettinen,CE,Summer,2022,Felecia.Miettinen@email.com
407,Robbyn,Gavaghan,CENG,Winter,2025,Robbyn.Gavaghan@email.com
408,Jeanette,Friett,CSC,Fall,2022,Jeanette.Friett@email.com
409,Nikolos,MacGregor,EE,Spring,2024,Nikolos.MacGregor@email.com
410,Gussi,Yurasov,GEOE,Summer,2024,Gussi.Yurasov@email.com
411,Prudence,Antonazzi,GEO,Winter,2024,Prudence.Antonazzi@email.com
412,Frayda,Collimore,IS,Fall,2025,Frayda.Collimore@email.com
413,Domenic,Haly,MATH,Spring,2024,Domenic.Haly@email.com
414,Vince,Waistell,ME,Summer,2023,Vince.Waistell@email.com
415,Marylee,Mayger,MET,Winter,2023,Marylee.Mayger@email.com
416,Rudd,Flieg,PHYS,Fall,2023,Rudd.Flieg@email.com
417,Elden,Locker,STS,Spring,2025,Elden.Locker@email.com
418,Emmery,Gronw,MINE,Summer,2025,Emmery.Gronw@email.com
419,Phyllis,Collopy,ATMO,Winter,2025,Phyllis.Collopy@email.com
420,Ginni,Hagger,BIO,Fall,2023,Ginni.Hagger@email.com
421,Ephrem,Reynoldson,BME,Spring,2024,Ephrem.Reynoldson@email.com
422,Tori,Nellen,BMT,Summer,2022,Tori.Nellen@email.com
423,Axel,Whate,CHEME,Winter,2022,Axel.Whate@email.com
424,Angelico,Harrington,CHEM,Fall,2025,Angelico.Harrington@email.com
425,Toddy,Hampshire,CE,Spring,2024,Toddy.Hampshire@email.com
426,Bonnie,Keinrat,CENG,Summer,2025,Bonnie.Keinrat@email.com
427,Aurthur,Risom,CSC,Winter,2022,Aurthur.Risom@email.com
428,Jessika,Ottey,EE,Fall,2022,Jessika.Ottey@email.com
429,Verine,Stoakley,GEOE,Spring,2024,Verine.Stoakley@email.com
430,Mariel,Copo,GEO,Summer,2022,Mariel.Copo@email.com
431,Omar,Madge,IS,Winter,2023,Omar.Madge@email.com
432,Donovan,Rhead,MATH,Fall,2022,Donovan.Rhead@email.com
433,Madel,Heatlie,ME,Spring,2024,Madel.Heatlie@email.com
434,Ardys,Romer,MET,Summer,2025,Ardys.Romer@email.com
435,Dave,Bompas,PHYS,Winter,2023,Dave.Bompas@email.com
436,Ludvig,Dominichelli,STS,Fall,2024,Ludvig.Dominichelli@email.com
437,Jeth,Switland,MINE,Spring,2024,Jeth.Switland@email.com
438,Rourke,Maharry,ATMO,Summer,2023,Rourke.Maharry@email.com
439,Wain,Warburton,BIO,Winter,2022,Wain.Warburton@email.com
440,Blondelle,Boundey,BME,Fall,2025,Blondelle.Boundey@email.com
441,Vidovic,O'Hearn,BMT,Spring,2024,Vidovic.O'Hearn@email.com
442,Wilhelm,Sergant,CHEME,Summer,2025,Wilhelm.Sergant@email.com
443,Davie,Dullaghan,CHEM,Winter,2023,Davie.Dullaghan@email.com
444,Clarine,Lagden,CE,Fall,2025,Clarine.Lagden@email.com
445,Corrine,Weinmann,CENG,Spring,2023,Corrine.Weinmann@email.com
446,Hurley,Shrieve,CSC,Summer,2024,Hurley.Shrieve@email.com
447,Zachery,Fearnill,EE,Winter,2023,Zachery.Fearnill@email.com
448,Flss,McGiveen,GEOE,Fall,2023,Flss.McGiveen@email.com
449,Constanta,Pesik,GEO,Spring,2024,Constanta.Pesik@email.com
450,Jenilee,Corragan,IS,Summer,2024,Jenilee.Corragan@email.com
451,Aluino,Delgaty,MATH,Winter,2022,Aluino.Delgaty@email.com
452,Blaire,Piesold,ME,Fall,2024,Blaire.Piesold@email.com
453,Glen,MacTurlough,MET,Spring,2024,Glen.MacTurlough@email.com
454,Paulie,Brummell,PHYS,Summer,2025,Paulie.Brummell@email.com
455,Salvidor,Cogger,STS,Winter,2024,Salvidor.Cogger@email.com
456,Lauri,Gonsalvez,MINE,Fall,2023,Lauri.Gonsalvez@email.com
457,Alexis,Glayzer,ATMO,Spring,2024,Alexis.Glayzer@email.com
458,Wallie,Michin,BIO,Summer,2024,Wallie.Michin@email.com
459,Morton,Crampin,BME,Winter,2022,Morton.Crampin@email.com
460,Fenelia,Meriott,BMT,Fall,2022,Fenelia.Meriott@email.com
461,Stanislaus,Battisson,CHEME,Spring,2024,Stanislaus.Battisson@email.com
462,Aguie,Hirjak,CHEM,Summer,2022,Aguie.Hirjak@email.com
463,Abel,Hearnshaw,CE,Winter,2023,Abel.Hearnshaw@email.com
464,Cammy,Rosenfeld,CENG,Fall,2022,Cammy.Rosenfeld@email.com
465,Asher,Charkham,CSC,Spring,2022,Asher.Charkham@email.com
466,Melanie,Laughren,EE,Summer,2025,Melanie.Laughren@email.com
467,Barrie,Antoniottii,GEOE,Winter,2023,Barrie.Antoniottii@email.com
468,Maire,Martinie,GEO,Fall,2024,Maire.Martinie@email.com
469,Lilia,Ioselev,IS,Spring,2023,Lilia.Ioselev@email.com
470,Willdon,Lofts,MATH,Summer,2023,Willdon.Lofts@email.com
471,Kalvin,Whieldon,ME,Winter,2023,Kalvin.Whieldon@email.com
472,Susanne,Sherbrook,MET,Fall,2023,Susanne.Sherbrook@email.com
473,Wayland,Garmey,PHYS,Spring,2024,Wayland.Garmey@email.com
474,Sauveur,Dachs,STS,Summer,2023,Sauveur.Dachs@email.com
475,Blaine,Sharnock,MINE,Winter,2023,Blaine.Sharnock@email.com
476,Calhoun,Clear,ATMO,Fall,2022,Calhoun.Clear@email.com
477,Tracy,MacFarlan,BIO,Spring,2024,Tracy.MacFarlan@email.com
478,Allegra,Wraxall,BME,Summer,2024,Allegra.Wraxall@email.com
479,Ardyth,Farney,BMT,Winter,2024,Ardyth.Farney@email.com
480,Eilis,Van der Mark,CHEME,Fall,2023,Eilis.Van der Mark@email.com
481,Roi,Reidshaw,CHEM,Spring,2023,Roi.Reidshaw@email.com
482,Georgi,Szantho,CE,Summer,2023,Georgi.Szantho@email.com
483,Lester,McKern,CENG,Winter,2025,Lester.McKern@email.com
484,Gretta,Craydon,CSC,Fall,2023,Gretta.Craydon@email.com
485,Aleda,Drydale,EE,Spring,2025,Aleda.Drydale@email.com
486,Katheryn,Hitzmann,GEOE,Summer,2022,Katheryn.Hitzmann@email.com
487,Adrienne,Mealham,GEO,Winter,2024,Adrienne.Mealham@email.com
488,Leupold,Oiller,IS,Fall,2023,Leupold.Oiller@email.com
489,Fenelia,Denys,MATH,Spring,2022,Fenelia.Denys@email.com
490,Friederike,Van den Velde,ME,Summer,2025,Friederike.Van den Velde@email.com
491,Nikolaos,McMylor,MET,Winter,2022,Nikolaos.McMylor@email.com
492,Belia,Dilawey,PHYS,Fall,2022,Belia.Dilawey@email.com
493,Margo,Matskiv,STS,Spring,2023,Margo.Matskiv@email.com
494,Roanna,Hucklesby,MINE,Summer,2024,Roanna.Hucklesby@email.com
495,Elladine,Ferrieres,ATMO,Winter,2024,Elladine.Ferrieres@email.com
496,Reina,Cushion,BIO,Fall,2024,Reina.Cushion@email.com
497,Edith,Raddish,BME,Spring,2025,Edith.Raddish@email.com
498,Darryl,Sighard,BMT,Summer,2024,Darryl.Sighard@email.com
499,Norah,Peasgood,CHEME,Winter,2024,Norah.Peasgood@email.com
500,Gustav,Maevela,CHEM,Fall,2024,Gustav.Maevela@email.com
501,Cristin,Dedham,CE,Spring,2024,Cristin.Dedham@email.com
502,Helli,Souten,CENG,Summer,2022,Helli.Souten@email.com
503,Donnie,Spikeings,CSC,Winter,2025,Donnie.Spikeings@email.com
504,Ericka,Brunelli,EE,Fall,2025,Ericka.Brunelli@email.com
505,Killie,Towndrow,GEOE,Spring,2023,Killie.Towndrow@email.com
506,Amara,Kingdom,GEO,Summer,2022,Amara.Kingdom@email.com
507,Henrik,Roadnight,IS,Winter,2025,Henrik.Roadnight@email.com
508,Claudell,Vallery,MATH,Fall,2025,Claudell.Vallery@email.com
509,Deva,Nesbeth,ME,Spring,2025,Deva.Nesbeth@email.com
510,Ninnette,Danson,MET,Summer,2024,Ninnette.Danson@email.com
511,Wes,Scimoni,PHYS,Winter,2022,Wes.Scimoni@email.com
512,Luz,Zavittieri,STS,Fall,2022,Luz.Zavittieri@email.com
513,Lyndel,Moxon,MINE,Spring,2025,Lyndel.Moxon@email.com
514,Kerrill,Wedlock,ATMO,Summer,2025,Kerrill.Wedlock@email.com
515,Ulrike,Coultar,BIO,Winter,2024,Ulrike.Coultar@email.com
516,Leeanne,Hurrion,BME,Fall,2025,Leeanne.Hurrion@email.com
517,Garret,Morsley,BMT,Spring,2022,Garret.Morsley@email.com
518,Codi,Ryland,CHEME,Summer,2025,Codi.Ryland@email.com
519,Woody,Adds,CHEM,Winter,2024,Woody.Adds@email.com
520,Kyla,Roubottom,CE,Fall,2025,Kyla.Roubottom@email.com
521,Cody,Bolesworth,CENG,Spring,2023,Cody.Bolesworth@email.com
522,Caty,O'Grada,CSC,Summer,2024,Caty.O'Grada@email.com
523,Cesya,Tunney,EE,Winter,2022,Cesya.Tunney@email.com
524,Devin,Becconsall,GEOE,Fall,2022,Devin.Becconsall@email.com
525,Wilbur,Dunston,GEO,Spring,2024,Wilbur.Dunston@email.com
526,Seamus,Lengthorn,IS,Summer,2024,Seamus.Lengthorn@email.com
527,Cy,Boyack,MATH,Winter,2024,Cy.Boyack@email.com
528,Giorgio,Beggio,ME,Fall,2024,Giorgio.Beggio@email.com
529,Evelyn,Hovel,MET,Spring,2022,Evelyn.Hovel@email.com
530,Leisha,Learie,PHYS,Summer,2024,Leisha.Learie@email.com
531,Mufi,Hourstan,STS,Winter,2022,Mufi.Hourstan@email.com
532,Zsa zsa,Beranek,MINE,Fall,2024,Zsa zsa.Beranek@email.com
533,Debra,Towne,ATMO,Spring,2023,Debra.Towne@email.com
534,Anselma,Inkin,BIO,Summer,2023,Anselma.Inkin@email.com
535,Bendicty,Presnall,BME,Winter,2024,Bendicty.Presnall@email.com
536,Javier,Minto,BMT,Fall,2022,Javier.Minto@email.com
537,Nat,Jan,CHEME,Spring,2024,Nat.Jan@email.com
538,Jacklin,Harmer,CHEM,Summer,2022,Jacklin.Harmer@email.com
539,Ansley,Hirtzmann,CE,Winter,2024,Ansley.Hirtzmann@email.com
540,Stesha,Feldbrin,CENG,Fall,2025,Stesha.Feldbrin@email.com
541,Tine,Farrah,CSC,Spring,2023,Tine.Farrah@email.com
542,Tuesday,Sapir,EE,Summer,2024,Tuesday.Sapir@email.com
543,Susannah,Cowing,GEOE,Winter,2023,Susannah.Cowing@email.com
544,Matthiew,Durtnall,GEO,Fall,2023,Matthiew.Durtnall@email.com
545,Constancy,Mantrup,IS,Spring,2023,Constancy.Mantrup@email.com
546,Sondra,Dorant,MATH,Summer,2022,Sondra.Dorant@email.com
547,Rea,Doward,ME,Winter,2023,Rea.Doward@email.com
548,Andriette,Scougall,MET,Fall,2025,Andriette.Scougall@email.com
549,Ysabel,Satford,PHYS,Spring,2023,Ysabel.Satford@email.com
550,Pennie,Petrecz,STS,Summer,2024,Pennie.Petrecz@email.com
551,Tootsie,Lehrian,MINE,Winter,2022,Tootsie.Lehrian@email.com
552,Raimondo,Stillert,ATMO,Fall,2022,Raimondo.Stillert@email.com
553,Colette,Lomansey,BIO,Spring,2023,Colette.Lomansey@email.com
554,Willamina,Fenelon,BME,Summer,2024,Willamina.Fenelon@email.com
555,Beatriz,Boynton,BMT,Winter,2022,Beatriz.Boynton@email.com
556,Jamima,Caston,CHEME,Fall,2023,Jamima.Caston@email.com
557,Flossy,Benne,CHEM,Spring,2024,Flossy.Benne@email.com
558,Aura,De Brett,CE,Summer,2025,Aura.De Brett@email.com
559,Timi,Daffey,CENG,Winter,2023,Timi.Daffey@email.com
560,Tyler,Andriesse,CSC,Fall,2024,Tyler.Andriesse@email.com
561,Nolly,Snodin,EE,Spring,2025,Nolly.Snodin@email.com
562,Lelia,Neame,GEOE,Summer,2025,Lelia.Neame@email.com
563,Breena,Quesne,GEO,Winter,2023,Breena.Quesne@email.com
564,Chrisy,Simnell,IS,Fall,2022,Chrisy.Simnell@email.com
565,Edita,Abramowitch,MATH,Spring,2024,Edita.Abramowitch@email.com
566,Alecia,Bolus,ME,Summer,2025,Alecia.Bolus@email.com
567,Robbyn,Polkinghorne,MET,Winter,2025,Robbyn.Polkinghorne@email.com
568,Web,Ramet,PHYS,Fall,2025,Web.Ramet@email.com
569,Emmerich,Pearne,STS,Spring,2025,Emmerich.Pearne@email.com
570,Kalle,Roglieri,MINE,Summer,2023,Kalle.Roglieri@email.com
571,Milli,Phuprate,ATMO,Winter,2022,Milli.Phuprate@email.com
572,Jeane,Dinis,BIO,Fall,2022,Jeane.Dinis@email.com
573,Horatio,Hirschmann,BME,Spring,2023,Horatio.Hirschmann@email.com
574,Duncan,Levane,BMT,Summer,2025,Duncan.Levane@email.com
575,Kathrine,Blockley,CHEME,Winter,2024,Kathrine.Blockley@email.com
576,Giacobo,Nissle,CHEM,Fall,2023,Giacobo.Nissle@email.com
577,Margery,Wyllie,CE,Spring,2022,Margery.Wyllie@email.com
578,Gilburt,Raffles,CENG,Summer,2023,Gilburt.Raffles@email.com
579,Josey,Hurtado,CSC,Winter,2025,Josey.Hurtado@email.com
580,Rosalinda,Gosby,EE,Fall,2022,Rosalinda.Gosby@email.com
581,Louie,Hourihane,GEOE,Spring,2022,Louie.Hourihane@email.com
582,Bendix,Croxton,GEO,Summer,2022,Bendix.Croxton@email.com
583,Tull,Attenbrow,IS,Winter,2023,Tull.Attenbrow@email.com
584,Eldredge,Plumstead,MATH,Fall,2023,Eldredge.Plumstead@email.com
585,Arabel,Flamank,ME,Spring,2023,Arabel.Flamank@email.com
586,Marquita,Rosenbarg,MET,Summer,2022,Marquita.Rosenbarg@email.com
587,Farrand,Grishenkov,PHYS,Winter,2022,Farrand.Grishenkov@email.com
588,Jaime,Redish,STS,Fall,2022,Jaime.Redish@email.com
589,Claudia,Suthworth,MINE,Spring,2025,Claudia.Suthworth@email.com
590,Erasmus,Sesser,ATMO,Summer,2025,Erasmus.Sesser@email.com
591,Oliy,Adamczewski,BIO,Winter,2022,Oliy.Adamczewski@email.com
592,Alexandre,Butler,BME,Fall,2025,Alexandre.Butler@email.com
593,Reggy,Giacobilio,BMT,Spring,2023,Reggy.Giacobilio@email.com
594,Jamey,Aspey,CHEME,Summer,2023,Jamey.Aspey@email.com
595,Colver,Trudgeon,CHEM,Winter,2024,Colver.Trudgeon@email.com
596,Roi,Brayfield,CE,Fall,2023,Roi.Brayfield@email.com
597,Arvy,Massen,CENG,Spring,2025,Arvy.Massen@email.com
598,Hamilton,Stollenbecker,CSC,Summer,2025,Hamilton.Stollenbecker@email.com
599,Silvie,Dyke,EE,Winter,2025,Silvie.Dyke@email.com
600,Brittan,Strettle,GEOE,Fall,2022,Brittan.Strettle@email.com
601,Maryjo,Lebreton,GEO,Spring,2024,Maryjo.Lebreton@email.com
602,Brittne,Kellen,IS,Summer,2022,Brittne.Kellen@email.com
603,Beverlee,Sandlin,MATH,Winter,2023,Beverlee.Sandlin@email.com
604,Adela,Lattimer,ME,Fall,2025,Adela.Lattimer@email.com
605,Jarid,Goschalk,MET,Spring,2023,Jarid.Goschalk@email.com
606,Kylila,Howton,PHYS,Summer,2023,Kylila.Howton@email.com
607,Brigida,Spinetti,STS,Winter,2025,Brigida.Spinetti@email.com
608,Morna,Yushkov,MINE,Fall,2022,Morna.Yushkov@email.com
609,Diane-marie,Brittin,ATMO,Spring,2023,Diane-marie.Brittin@email.com
610,Willow,Paulucci,BIO,Summer,2022,Willow.Paulucci@email.com
611,Elsworth,Waliszek,BME,Winter,2023,Elsworth.Waliszek@email.com
612,Cary,Cruddace,BMT,Fall,2022,Cary.Cruddace@email.com
613,Tabb,Brocks,CHEME,Spring,2025,Tabb.Brocks@email.com
614,Renie,Eldin,CHEM,Summer,2022,Renie.Eldin@email.com
615,Bayard,O'Heagertie,CE,Winter,2023,Bayard.O'Heagertie@email.com
616,Ber,Cristol,CENG,Fall,2024,Ber.Cristol@email.com
617,Layla,Evesque,CSC,Spring,2024,Layla.Evesque@email.com
618,Cristen,Stuck,EE,Summer,2022,Cristen.Stuck@email.com
619,Tremayne,Howen,GEOE,Winter,2025,Tremayne.Howen@email.com
620,Minette,Tuftin,GEO,Fall,2025,Minette.Tuftin@email.com
621,Sena,Brazenor,IS,Spring,2024,Sena.Brazenor@email.com
622,Egan,Bosden,MATH,Summer,2024,Egan.Bosden@email.com
623,Rozelle,Tejero,ME,Winter,2024,Rozelle.Tejero@email.com
624,Traver,Andor,MET,Fall,2024,Traver.Andor@email.com
625,Raeann,Osgordby,PHYS,Spring,2025,Raeann.Osgordby@email.com
626,Brook,Alexsandrov,STS,Summer,2022,Brook.Alexsandrov@email.com
627,Fayette,Hethron,MINE,Winter,2025,Fayette.Hethron@email.com
628,Pearle,Adam,ATMO,Fall,2024,Pearle.Adam@email.com
629,Dacie,Hanes,BIO,Spring,2025,Dacie.Hanes@email.com
630,Clementina,Loade,BME,Summer,2023,Clementina.Loade@email.com
631,Nickolaus,Culham,BMT,Winter,2024,Nickolaus.Culham@email.com
632,Arnuad,Girsch,CHEME,Fall,2023,Arnuad.Girsch@email.com
633,Gwendolyn,Jouhandeau,CHEM,Spring,2022,Gwendolyn.Jouhandeau@email.com
634,Sanders,Bullin,CE,Summer,2022,Sanders.Bullin@email.com
635,Bondie,Salvidge,CENG,Winter,2025,Bondie.Salvidge@email.com
636,Sim,Copes,CSC,Fall,2023,Sim.Copes@email.com
637,Carmella,Sperring,EE,Spring,2022,Carmella.Sperring@email.com
638,Putnem,Gras,GEOE,Summer,2025,Putnem.Gras@email.com
639,Bella,Minister,GEO,Winter,2023,Bella.Minister@email.com
640,Nedda,Talks,IS,Fall,2025,Nedda.Talks@email.com
641,Miltie,Rackam,MATH,Spring,2024,Miltie.Rackam@email.com
642,Rolland,Lugsdin,ME,Summer,2023,Rolland.Lugsdin@email.com
643,Kassi,Drummer,MET,Winter,2024,Kassi.Drummer@email.com
644,Kissie,Frears,PHYS,Fall,2023,Kissie.Frears@email.com
645,Hershel,Spurret,STS,Spring,2023,Hershel.Spurret@email.com
646,Enid,Janowicz,MINE,Summer,2025,Enid.Janowicz@email.com
647,Pepita,Cregg,ATMO,Winter,2023,Pepita.Cregg@email.com
648,Venita,Cramond,BIO,Fall,2025,Venita.Cramond@email.com
649,Emelina,O'Meara,BME,Spring,2024,Emelina.O'Meara@email.com
650,Gregor,Assante,BMT,Summer,2023,Gregor.Assante@email.com
651,Bobby,Vasilevich,CHEME,Winter,2025,Bobby.Vasilevich@email.com
652,Denise,Dyne,CHEM,Fall,2024,Denise.Dyne@email.com
653,Dorella,Bottelstone,CE,Spring,2025,Dorella.Bottelstone@email.com
654,Ker,Klausen,CENG,Summer,2024,Ker.Klausen@email.com
655,Tedmund,Buttler,CSC,Winter,2025,Tedmund.Buttler@email.com
656,Allix,Neward,EE,Fall,2022,Allix.Neward@email.com
657,Maurise,Purveys,GEOE,Spring,2025,Maurise.Purveys@email.com
658,Gayle,Hebblewhite,GEO,Summer,2023,Gayle.Hebblewhite@email.com
659,Sayre,Paxforde,IS,Winter,2022,Sayre.Paxforde@email.com
660,Mahala,Harborow,MATH,Fall,2024,Mahala.Harborow@email.com
661,Jennifer,Atwell,ME,Spring,2025,Jennifer.Atwell@email.com
662,Trina,Flegg,MET,Summer,2023,Trina.Flegg@email.com
663,Bil,Brightie,PHYS,Winter,2025,Bil.Brightie@email.com
664,Randi,Bontein,STS,Fall,2025,Randi.Bontein@email.com
665,Trumaine,Rimell,MINE,Spring,2025,Trumaine.Rimell@email.com
666,Ariel,Vasyaev,ATMO,Summer,2025,Ariel.Vasyaev@email.com
667,Zita,Lewsy,BIO,Winter,2024,Zita.Lewsy@email.com
668,Callean,Branni,BME,Fall,2024,Callean.Branni@email.com
669,Cordy,Sachno,BMT,Spring,2023,Cordy.Sachno@email.com
670,Sonnie,Paulley,CHEME,Summer,2023,Sonnie.Paulley@email.com
671,Aile,Whitland,CHEM,Winter,2025,Aile.Whitland@email.com
672,Yolande,De Bruyne,CE,Fall,2024,Yolande.De Bruyne@email.com
673,Ernie,Absolon,CENG,Spring,2022,Ernie.Absolon@email.com
674,Petr,Grund,CSC,Summer,2022,Petr.Grund@email.com
675,Elana,Canada,EE,Winter,2023,Elana.Canada@email.com
676,Brad,Westfield,GEOE,Fall,2023,Brad.Westfield@email.com
677,Jarrad,Shackell,GEO,Spring,2023,Jarrad.Shackell@email.com
678,Perrine,Soughton,IS,Summer,2025,Perrine.Soughton@email.com
679,Marna,Gorman,MATH,Winter,2024,Marna.Gorman@email.com
680,Morry,Greenhall,ME,Fall,2024,Morry.Greenhall@email.com
681,Buck,Gingles,MET,Spring,2024,Buck.Gingles@email.com
682,Lily,Alexandersen,PHYS,Summer,2024,Lily.Alexandersen@email.com
683,Fabe,Ogley,STS,Winter,2025,Fabe.Ogley@email.com
684,Vernon,McCague,MINE,Fall,2024,Vernon.McCague@email.com
685,Sharla,Meeke,ATMO,Spring,2023,Sharla.Meeke@email.com
686,Thomasina,O'Sullivan,BIO,Summer,2022,Thomasina.O'Sullivan@email.com
687,Gertie,Bliven,BME,Winter,2023,Gertie.Bliven@email.com
688,Bennett,Philbin,BMT,Fall,2024,Bennett.Philbin@email.com
689,Corrina,Lathan,CHEME,Spring,2023,Corrina.Lathan@email.com
690,Nessie,Wewell,CHEM,Summer,2025,Nessie.Wewell@email.com
691,Robby,Rubi,CE,Winter,2025,Robby.Rubi@email.com
692,Janenna,Horsley,CENG,Fall,2024,Janenna.Horsley@email.com
693,Aeriel,Lusgdin,CSC,Spring,2022,Aeriel.Lusgdin@email.com
694,Merissa,Karmel,EE,Summer,2025,Merissa.Karmel@email.com
695,Derrek,Clawson,GEOE,Winter,2023,Derrek.Clawson@email.com
696,Mattie,Auden,GEO,Fall,2023,Mattie.Auden@email.com
697,Antonella,Garriock,IS,Spring,2024,Antonella.Garriock@email.com
698,Ambrose,Osgerby,MATH,Summer,2023,Ambrose.Osgerby@email.com
699,Eleanor,Gosnay,ME,Winter,2024,Eleanor.Gosnay@email.com
700,Loren,Tease,MET,Fall,2022,Loren.Tease@email.com
701,Maddi,Stenton,PHYS,Spring,2022,Maddi.Stenton@email.com
702,Dirk,Densie,STS,Summer,2023,Dirk.Densie@email.com
703,Liesa,Giovannilli,MINE,Winter,2024,Liesa.Giovannilli@email.com
704,Aleece,Lochrie,ATMO,Fall,2025,Aleece.Lochrie@email.com
705,Fredra,Faragher,BIO,Spring,2024,Fredra.Faragher@email.com
706,Moria,Caselli,BME,Summer,2022,Moria.Caselli@email.com
707,Ichabod,McGruar,BMT,Winter,2023,Ichabod.McGruar@email.com
708,Adoree,Tompkiss,CHEME,Fall,2024,Adoree.Tompkiss@email.com
709,Cecily,Lawson,CHEM,Spring,2025,Cecily.Lawson@email.com
710,Alina,Phillimore,CE,Summer,2025,Alina.Phillimore@email.com
711,Bab,Ecclesall,CENG,Winter,2024,Bab.Ecclesall@email.com
712,Almira,Ferrone,CSC,Fall,2025,Almira.Ferrone@email.com
713,Simonette,Earry,EE,Spring,2023,Simonette.Earry@email.com
714,Lyon,Grigoire,GEOE,Summer,2023,Lyon.Grigoire@email.com
715,Neilla,Gorvette,GEO,Winter,2024,Neilla.Gorvette@email.com
716,Boot,Norquoy,IS,Fall,2023,Boot.Norquoy@email.com
717,Portia,Beebe,MATH,Spring,2022,Portia.Beebe@email.com
718,Lita,McArtan,ME,Summer,2025,Lita.McArtan@email.com
719,Jedd,Calafato,MET,Winter,2022,Jedd.Calafato@email.com
720,Barbabas,Betton,PHYS,Fall,2025,Barbabas.Betton@email.com
721,Tersina,O'Shevlin,STS,Spring,2023,Tersina.O'Shevlin@email.com
722,Hurley,Ritter,MINE,Summer,2022,Hurley.Ritter@email.com
723,Max,Whittle,ATMO,Winter,2022,Max.Whittle@email.com
724,Ralph,Burgott,BIO,Fall,2023,Ralph.Burgott@email.com
725,Jess,Sudy,BME,Spring,2025,Jess.Sudy@email.com
726,Jacquenetta,Kobierzycki,BMT,Summer,2025,Jacquenetta.Kobierzycki@email.com
727,Ketti,Iamittii,CHEME,Winter,2025,Ketti.Iamittii@email.com
728,Rubia,Northcliffe,CHEM,Fall,2023,Rubia.Northcliffe@email.com
729,Ginger,Choppen,CE,Spring,2022,Ginger.Choppen@email.com
730,Kassia,Getley,CENG,Summer,2025,Kassia.Getley@email.com
731,Celestyn,Sebley,CSC,Winter,2024,Celestyn.Sebley@email.com
732,Reena,Hargrove,EE,Fall,2024,Reena.Hargrove@email.com
733,Glenna,Ramshay,GEOE,Spring,2022,Glenna.Ramshay@email.com
734,Katti,Hitscher,GEO,Summer,2023,Katti.Hitscher@email.com
735,Karalee,Mabon,IS,Winter,2024,Karalee.Mabon@email.com
736,Hildagarde,Sewards,MATH,Fall,2025,Hildagarde.Sewards@email.com
737,Hatty,Petken,ME,Spring,2024,Hatty.Petken@email.com
738,Roderick,Gally,MET,Summer,2023,Roderick.Gally@email.com
739,Garfield,Laguerre,PHYS,Winter,2022,Garfield.Laguerre@email.com
740,Morgen,Crone,STS,Fall,2025,Morgen.Crone@email.com
741,Saree,Hawton,MINE,Spring,2025,Saree.Hawton@email.com
742,Kathie,Cornthwaite,ATMO,Summer,2024,Kathie.Cornthwaite@email.com
743,Eadmund,Yesenev,BIO,Winter,2022,Eadmund.Yesenev@email.com
744,Arri,China,BME,Fall,2024,Arri.China@email.com
